32005/01084,2023-01-18 11:00:00,2023-01-18 14:00:00,AE216026,4233207,2830ZT,annama94,PLINE300,
32005/01084,2023-01-23 11:00:00,2023-01-23 13:00:00,AE216026 Measurement,4234402,2830ZT,annama94,PLINE300,
30990/32063,2023-01-03 16:00:00,2023-01-03 17:30:00,Internal process development,4220220,2830ZT,chauha79,PLINE300,
30990/32063,2023-01-09 14:00:00,2023-01-09 15:30:00,Process development ZMO,4229845,2830ZT,chauha79,PLINE300,
36003/01221,2023-01-02 15:30:00,2023-01-02 17:00:00,SPC test after xmas shutdown,4219988,2830ZT,dara85,PLINE300,
30990/32063,2023-01-19 10:30:00,2023-01-19 14:30:00,SPC,4233362,2830ZT,kramac15,PLINE300,
30990/32063,2023-01-16 14:30:00,2023-01-16 16:30:00,spc,4232441,2830ZT,lukose22,PLINE300,
31499/01284,2023-01-11 15:00:00,2023-01-11 17:00:00,AT335454,4230971,2830ZT,mandal97,PLINE300,
31499/01284,2023-01-17 15:00:00,2023-01-17 16:00:00,XRF,4232944,2830ZT,mandal97,PLINE300,
31499/01284,2023-01-17 17:00:00,2023-01-17 18:00:00,XRF,4233069,2830ZT,mandal97,PLINE300,
31499/01490,2023-01-18 14:30:00,2023-01-18 15:30:00,XRF,4233346,2830ZT,mandal97,PLINE300,
31499/01284,2023-01-18 16:30:00,2023-01-18 18:00:00,XRF,4233384,2830ZT,mandal97,PLINE300,
31499/01284,2023-01-05 12:30:00,2023-01-05 14:30:00,MAZO and binaries w/ O3,4229015,2830ZT,pavel13,PLINE300,
31499/01284,2023-01-09 09:30:00,2023-01-09 11:00:00,Binaries w/ O3,4229680,2830ZT,pavel13,PLINE300,
31499/01284,2023-01-10 09:00:00,2023-01-10 10:30:00,MAZO Binaries w/ O3,4229950,2830ZT,pavel13,PLINE300,
31499/01284,2023-01-11 10:30:00,2023-01-11 12:00:00,Mazo Binaries w/ O3,4230807,2830ZT,pavel13,PLINE300,
31499/00379,2023-01-13 13:00:00,2023-01-13 18:00:00,xrf,4231812,2830ZT,peissk91,PLINE300,
31499/00379,2023-01-24 12:30:00,2023-01-24 15:00:00,XRF,4235057,2830ZT,peissk91,PLINE300,
31499/01715,2023-01-23 14:00:00,2023-01-23 17:00:00,XRF daVinci,4234120,2830ZT,witterst,PLINE300,
36671/01224,2023-01-11 09:00:00,2023-01-11 10:30:00,DEVINO LOT DOWNSIZING,4230875,300MM_DICER,ameghn57,PLINE200,
36671/01224,2023-01-13 09:30:00,2023-01-13 12:30:00,W2W bonding ET overlay backup,4231402,300MM_DICER,ameghn57,PLINE200,
36671/01224,2023-01-21 10:30:00,2023-01-21 16:00:00,CIRCLE BACK UP PROJECT,4233703,300MM_DICER,ameghn57,PLINE200,
32299/02016,2023-01-19 09:30:00,2023-01-19 16:00:00,For Alginment issue lot process,4232792,300MM_DICER,hiro13,PLINE200,
31012/01506,2023-01-09 09:00:00,2023-01-09 16:00:00,process the wafer,4229481,300MM_DICER,schoofs,PLINE200,
31012/01506,2023-01-10 08:00:00,2023-01-10 16:00:00,process the wafer,4229957,300MM_DICER,schoofs,PLINE200,
32299/02016,2023-01-12 09:30:00,2023-01-12 17:00:00,Prio lot,4231179,300MM_DICER,schoofs,PLINE200,
32299/02016,2023-01-16 09:30:00,2023-01-16 17:00:00,Prio lot,4231971,300MM_DICER,schoofs,PLINE200,
31012/01084,2023-01-12 09:30:00,2023-01-12 17:30:00,fowlp,4230904,40NT,kennes63,PLINE200,
31012/01084,2023-01-25 08:00:00,2023-01-25 17:00:00,b2F,4235080,40NT,kennes63,PLINE200,
39425/01224,2023-01-16 10:00:00,2023-01-17 00:00:00,Particle investigation,4232247,A412,ceuppenj,PLINE300,LP1
39425/01224,2023-01-17 00:00:00,2023-01-17 08:00:00,Particle investigation,4232249,A412,ceuppenj,PLINE300,LP1
39425/01224,2023-01-16 10:00:00,2023-01-17 00:00:00,Particle investigation,4232248,A412,ceuppenj,PLINE300,PM2
39425/01224,2023-01-17 00:00:00,2023-01-17 08:00:00,Particle investigation,4232250,A412,ceuppenj,PLINE300,PM2
39425/01221,2023-01-20 09:30:00,2023-01-20 11:30:00,OE implementation filler wafers,4232831,A412_4,ceuppenj,PLINE300,LP1
30990/02249,2023-01-30 10:00:00,2023-01-31 00:00:00,Silcore customer demo,4233893,A412_4,houben21,PLINE300,LP1
30990/02249,2023-01-31 00:00:00,2023-02-01 00:00:00,Silcore customer demo,4233896,A412_4,houben21,PLINE300,LP1
