Begin,Description,End,FACILITY,IIO_Res_id,Modules,Tool,User_id,WBS
2022-10-31 0:00,lot processing,2022-10-31 2:00,PLINE300,480,,SC1000,robber85,31199/30079
2022-10-31 0:00,lot processing,2022-10-31 2:00,PLINE300,517,,TR1000,robber85,31199/30079
2022-10-31 0:00,rax,2022-10-31 3:00,PLINE300,128,,H6300_2,kim69,31199/31147
2022-10-31 0:00,private,2022-10-31 6:00,PLINE300,45,,H6300,fukumu91,31199/02019
2022-10-31 6:00,Insp,2022-10-31 8:00,PLINE300,163,,SEMVISION,redants,37004/37141
2022-10-31 6:00,scrnjdp,2022-10-31 8:00,PLINE300,1518,PM,EDR7100,vanderey,31199/31191
2022-10-31 7:30,APC,2022-10-31 8:00,PLINE300,689,,SC3400,das10,31199/00651
2022-10-31 7:30,APC,2022-10-31 8:00,PLINE300,723,,TR3400,das10,31199/00651
2022-10-31 8:30,test,2022-10-31 9:00,PLINE300,921,,GS1000,vanroey,31199/00653
2022-10-31 7:00,Important lot,2022-10-31 9:30,PLINE300,750,,INS3300,redants,00999/00505
2022-10-31 8:30,NXE monitor,2022-10-31 9:30,PLINE300,652,,HITACHI5000,aubert85,31199/31811
2022-10-31 7:00,proc dev,2022-10-31 10:00,PLINE300,143,,H6300_2,ramane56,31199/02273
2022-10-31 8:00,i,2022-10-31 10:00,PLINE300,284,,HELIOS1200,iraci88,37092/02172
2022-10-31 9:00,devinp,2022-10-31 10:00,PLINE300,258,,HRP340_2,stiersk,36003/36503
2022-10-31 9:30,measurement,2022-10-31 10:00,PLINE300,404,,SP5,arnou66,30990/32063
2022-10-31 8:30,test,2022-10-31 10:30,PLINE300,953,,TR3300,dilien72,31199/30079
2022-10-31 9:30,Tool-to-tool offset,2022-10-31 11:00,PLINE300,43,,H6300,newman74,31199/01995
2022-10-31 10:00,development,2022-10-31 11:00,PLINE300,1207,LP1;PM1,TEL_TACTRAS2,puliya38,37093/02175
2022-10-31 10:00,euv test,2022-10-31 11:00,PLINE200,1018,,ASM750,pollenti,31199/01851
2022-10-31 10:00,euv test,2022-10-31 11:00,PLINE200,1021,,TELACT8_750,pollenti,31199/01851
2022-10-31 10:00,test,2022-10-31 11:00,PLINE300,945,,SC3400,dilien72,31199/30079
2022-10-31 10:00,test,2022-10-31 11:00,PLINE300,949,,TR3400,dilien72,31199/30079
2022-10-31 10:30,ER_D_Use,2022-10-31 11:00,PLINE300,115,,H6300_2,her70,31199/01680
2022-10-31 10:00,AL208143/1,2022-10-31 11:30,PLINE200,1088,,SAM_AW300,chen70,32299/02107
2022-10-31 9:30,recipe check,2022-10-31 12:00,PLINE200,1084,,KLA2351,moet12,32299/01959
2022-10-31 10:00,APC,2022-10-31 12:00,PLINE300,1524,PM,EP5,hasan30,31199/01391
2022-10-31 10:00,coupon etch,2022-10-31 12:00,PLINE300,1211,LP1;PM6,TEL_TACTRAS3,paolil45,31199/01988
